{'?': <absl.app.HelpFlag object at 0x7f952e3054d0>,
 'alsologtostderr': <absl.flags._flag.BooleanFlag object at 0x7f9539fd67d0>,
 'batch_size': <absl.flags._flag.Flag object at 0x7f952e305110>,
 'beta1': <absl.flags._flag.Flag object at 0x7f952e2fdd50>,
 'c_dim': <absl.flags._flag.Flag object at 0x7f952e305210>,
 'checkpoint_dir': <absl.flags._flag.Flag object at 0x7f952e305350>,
 'data_format': <absl.flags._flag.Flag object at 0x7f952e305290>,
 'datafile': <absl.flags._flag.Flag object at 0x7f952e2fdb90>,
 'dataset': <absl.flags._flag.Flag object at 0x7f952e2fda10>,
 'df_dim': <absl.flags._flag.Flag object at 0x7f952e305090>,
 'epoch': <absl.flags._flag.Flag object at 0x7f952e2fdc10>,
 'experiment': <absl.flags._flag.Flag object at 0x7f952e305410>,
 'flip_labels': <absl.flags._flag.Flag object at 0x7f952e2fddd0>,
 'gf_dim': <absl.flags._flag.Flag object at 0x7f952e2fdfd0>,
 'help': <absl.app.HelpFlag object at 0x7f952e3054d0>,
 'helpfull': <absl.app.HelpfullFlag object at 0x7f952e305550>,
 'helpshort': <absl.app.HelpshortFlag object at 0x7f952e305510>,
 'helpxml': <absl.app.HelpXMLFlag object at 0x7f952e305590>,
 'learning_rate': <absl.flags._flag.Flag object at 0x7f952e2fdcd0>,
 'log_dir': <absl.flags._flag.Flag object at 0x7f9539fd6890>,
 'logtostderr': <absl.flags._flag.BooleanFlag object at 0x7f9539fd66d0>,
 'nd_layers': <absl.flags._flag.Flag object at 0x7f952e2fded0>,
 'ng_layers': <absl.flags._flag.Flag object at 0x7f952e2fdf50>,
 'only_check_args': <absl.flags._flag.BooleanFlag object at 0x7f9539fd6fd0>,
 'op_conversion_fallback_to_while_loop': <absl.flags._flag.BooleanFlag object at 0x7f9538776590>,
 'output_size': <absl.flags._flag.Flag object at 0x7f952e305190>,
 'pdb_post_mortem': <absl.flags._flag.BooleanFlag object at 0x7f9539fce690>,
 'profile_file': <absl.flags._flag.Flag object at 0x7f9539fd6f50>,
 'run_with_pdb': <absl.flags._flag.BooleanFlag object at 0x7f9539fcbb50>,
 'run_with_profiling': <absl.flags._flag.BooleanFlag object at 0x7f9539fce210>,
 'save_every_step': <absl.flags._flag.BooleanFlag object at 0x7f952e305450>,
 'showprefixforinfo': <absl.flags._flag.BooleanFlag object at 0x7f9539fd6a90>,
 'stderrthreshold': <absl.logging._StderrthresholdFlag object at 0x7f9539fd6a10>,
 'test_random_seed': <absl.flags._flag.Flag object at 0x7f952e87dfd0>,
 'test_randomize_ordering_seed': <absl.flags._flag.Flag object at 0x7f952e8940d0>,
 'test_srcdir': <absl.flags._flag.Flag object at 0x7f952e8912d0>,
 'test_tmpdir': <absl.flags._flag.Flag object at 0x7f952e891410>,
 'transpose_matmul_b': <absl.flags._flag.BooleanFlag object at 0x7f952e3052d0>,
 'use_cprofile_for_profiling': <absl.flags._flag.BooleanFlag object at 0x7f9539fd6f90>,
 'v': <absl.logging._VerbosityFlag object at 0x7f9539fd68d0>,
 'verbose': <absl.flags._flag.BooleanFlag object at 0x7f952e305490>,
 'verbosity': <absl.logging._VerbosityFlag object at 0x7f9539fd68d0>,
 'xml_output_file': <absl.flags._flag.Flag object at 0x7f952e82a650>,
 'z_dim': <absl.flags._flag.Flag object at 0x7f952e2fde50>}
 [*] Reading checkpoints...
 [*] Success to read dcgan.model-epoch-39
Epoch: [40] Step: [   0/ 125] time: 40.3411, d_loss: 0.08245159, g_loss: 4.40735722
Epoch: [40] Step: [   1/ 125] time: 46.9235, d_loss: 0.00000000, g_loss: 17.94708443
Epoch: [40] Step: [   2/ 125] time: 53.3761, d_loss: 0.00000000, g_loss: 22.20006943
Epoch: [40] Step: [   3/ 125] time: 59.9743, d_loss: 0.00000000, g_loss: 22.13899231
Epoch: [40] Step: [   4/ 125] time: 66.4006, d_loss: 0.00000000, g_loss: 14.65888786
Epoch: [40] Step: [   5/ 125] time: 73.2142, d_loss: 0.14444205, g_loss: 7.33426952
Epoch: [40] Step: [   6/ 125] time: 79.4966, d_loss: 0.00000000, g_loss: 18.15840721
Epoch: [40] Step: [   7/ 125] time: 85.9455, d_loss: 21.62334061, g_loss: 3.66601825
Epoch: [40] Step: [   8/ 125] time: 92.5788, d_loss: 0.00000000, g_loss: 14.84274864
Epoch: [40] Step: [   9/ 125] time: 98.7658, d_loss: 0.00000000, g_loss: 15.34962749
Epoch: [40] Step: [  10/ 125] time: 105.2316, d_loss: 0.01284902, g_loss: 6.36942101
Epoch: [40] Step: [  11/ 125] time: 111.4121, d_loss: 0.00000000, g_loss: 31.69787598
Epoch: [40] Step: [  12/ 125] time: 117.8348, d_loss: 0.00000000, g_loss: 23.16477776
Epoch: [40] Step: [  13/ 125] time: 123.6551, d_loss: 0.00000000, g_loss: 27.03799820
Epoch: [40] Step: [  14/ 125] time: 129.7861, d_loss: 0.00000000, g_loss: 6.99056721
Epoch: [40] Step: [  15/ 125] time: 135.8042, d_loss: 0.00000000, g_loss: 12.79345798
Epoch: [40] Step: [  16/ 125] time: 141.7968, d_loss: 0.10718317, g_loss: 33.32939148
Epoch: [40] Step: [  17/ 125] time: 148.0746, d_loss: 0.00000000, g_loss: 32.81774902
Epoch: [40] Step: [  18/ 125] time: 153.9813, d_loss: 0.00000000, g_loss: 31.85231209
Epoch: [40] Step: [  19/ 125] time: 160.0636, d_loss: 0.00000000, g_loss: 28.69589424
Epoch: [40] Step: [  20/ 125] time: 166.3093, d_loss: 0.00000000, g_loss: 26.44104958
Epoch: [40] Step: [  21/ 125] time: 172.4671, d_loss: 0.00000000, g_loss: 23.41661072
Epoch: [40] Step: [  22/ 125] time: 178.6136, d_loss: 0.00000000, g_loss: 19.10289574
Epoch: [40] Step: [  23/ 125] time: 184.4766, d_loss: 0.00000000, g_loss: 16.09279442
Epoch: [40] Step: [  24/ 125] time: 190.6645, d_loss: 0.00000000, g_loss: 14.58505154
Epoch: [40] Step: [  25/ 125] time: 196.2751, d_loss: 0.07072412, g_loss: 10.31411171
Epoch: [40] Step: [  26/ 125] time: 202.1054, d_loss: 0.00148440, g_loss: 3.94274569
Epoch: [40] Step: [  27/ 125] time: 208.2796, d_loss: 0.06975669, g_loss: 40.21088791
Epoch: [40] Step: [  28/ 125] time: 214.3316, d_loss: 2.60154891, g_loss: 23.97014999
Epoch: [40] Step: [  29/ 125] time: 220.4491, d_loss: 0.00000000, g_loss: 41.95570374
Epoch: [40] Step: [  30/ 125] time: 226.8630, d_loss: 0.00000000, g_loss: 36.48750305
Epoch: [40] Step: [  31/ 125] time: 232.9518, d_loss: 0.00000000, g_loss: 28.37198067
Epoch: [40] Step: [  32/ 125] time: 238.8035, d_loss: 0.00000000, g_loss: 20.91099548
Epoch: [40] Step: [  33/ 125] time: 244.8780, d_loss: 0.00000000, g_loss: 14.90017700
Epoch: [40] Step: [  34/ 125] time: 250.9322, d_loss: 0.37530503, g_loss: 6.35512543
