{'?': <absl.app.HelpFlag object at 0x7fdd7f407490>,
 'alsologtostderr': <absl.flags._flag.BooleanFlag object at 0x7fdd8b0d8790>,
 'batch_size': <absl.flags._flag.Flag object at 0x7fdd7f4070d0>,
 'beta1': <absl.flags._flag.Flag object at 0x7fdd7f400d10>,
 'c_dim': <absl.flags._flag.Flag object at 0x7fdd7f4071d0>,
 'checkpoint_dir': <absl.flags._flag.Flag object at 0x7fdd7f407310>,
 'data_format': <absl.flags._flag.Flag object at 0x7fdd7f407250>,
 'datafile': <absl.flags._flag.Flag object at 0x7fdd7f400b50>,
 'dataset': <absl.flags._flag.Flag object at 0x7fdd7f4009d0>,
 'df_dim': <absl.flags._flag.Flag object at 0x7fdd7f407050>,
 'epoch': <absl.flags._flag.Flag object at 0x7fdd7f400bd0>,
 'experiment': <absl.flags._flag.Flag object at 0x7fdd7f4073d0>,
 'flip_labels': <absl.flags._flag.Flag object at 0x7fdd7f400d90>,
 'gf_dim': <absl.flags._flag.Flag object at 0x7fdd7f400f90>,
 'help': <absl.app.HelpFlag object at 0x7fdd7f407490>,
 'helpfull': <absl.app.HelpfullFlag object at 0x7fdd7f407510>,
 'helpshort': <absl.app.HelpshortFlag object at 0x7fdd7f4074d0>,
 'helpxml': <absl.app.HelpXMLFlag object at 0x7fdd7f407550>,
 'learning_rate': <absl.flags._flag.Flag object at 0x7fdd7f400c90>,
 'log_dir': <absl.flags._flag.Flag object at 0x7fdd8b0d8850>,
 'logtostderr': <absl.flags._flag.BooleanFlag object at 0x7fdd8b0d8690>,
 'nd_layers': <absl.flags._flag.Flag object at 0x7fdd7f400e90>,
 'ng_layers': <absl.flags._flag.Flag object at 0x7fdd7f400f10>,
 'only_check_args': <absl.flags._flag.BooleanFlag object at 0x7fdd8b0d8f90>,
 'op_conversion_fallback_to_while_loop': <absl.flags._flag.BooleanFlag object at 0x7fdd89878550>,
 'output_size': <absl.flags._flag.Flag object at 0x7fdd7f407150>,
 'pdb_post_mortem': <absl.flags._flag.BooleanFlag object at 0x7fdd8b0d0650>,
 'profile_file': <absl.flags._flag.Flag object at 0x7fdd8b0d8f10>,
 'run_with_pdb': <absl.flags._flag.BooleanFlag object at 0x7fdd8b0ceb10>,
 'run_with_profiling': <absl.flags._flag.BooleanFlag object at 0x7fdd8b0d01d0>,
 'save_every_step': <absl.flags._flag.BooleanFlag object at 0x7fdd7f407410>,
 'showprefixforinfo': <absl.flags._flag.BooleanFlag object at 0x7fdd8b0d8a50>,
 'stderrthreshold': <absl.logging._StderrthresholdFlag object at 0x7fdd8b0d89d0>,
 'test_random_seed': <absl.flags._flag.Flag object at 0x7fdd7f97ff90>,
 'test_randomize_ordering_seed': <absl.flags._flag.Flag object at 0x7fdd7f996090>,
 'test_srcdir': <absl.flags._flag.Flag object at 0x7fdd7f993290>,
 'test_tmpdir': <absl.flags._flag.Flag object at 0x7fdd7f9933d0>,
 'transpose_matmul_b': <absl.flags._flag.BooleanFlag object at 0x7fdd7f407290>,
 'use_cprofile_for_profiling': <absl.flags._flag.BooleanFlag object at 0x7fdd8b0d8f50>,
 'v': <absl.logging._VerbosityFlag object at 0x7fdd8b0d8890>,
 'verbose': <absl.flags._flag.BooleanFlag object at 0x7fdd7f407450>,
 'verbosity': <absl.logging._VerbosityFlag object at 0x7fdd8b0d8890>,
 'xml_output_file': <absl.flags._flag.Flag object at 0x7fdd7f92c610>,
 'z_dim': <absl.flags._flag.Flag object at 0x7fdd7f400e10>}
 [*] Reading checkpoints...
 [*] Success to read dcgan.model-epoch-52
Epoch: [53] Step: [   0/ 125] time: 40.2879, d_loss: 0.00000000, g_loss: 25.56122589
Epoch: [53] Step: [   1/ 125] time: 46.8111, d_loss: 0.00000000, g_loss: 19.92848969
Epoch: [53] Step: [   2/ 125] time: 53.4194, d_loss: 0.00000000, g_loss: 16.64550591
Epoch: [53] Step: [   3/ 125] time: 59.9449, d_loss: 0.00000000, g_loss: 18.12151527
Epoch: [53] Step: [   4/ 125] time: 66.6249, d_loss: 0.00000000, g_loss: 17.45650101
Epoch: [53] Step: [   5/ 125] time: 73.2277, d_loss: 0.00000000, g_loss: 14.83316612
Epoch: [53] Step: [   6/ 125] time: 79.8086, d_loss: 0.00000000, g_loss: 11.19021797
Epoch: [53] Step: [   7/ 125] time: 86.2252, d_loss: 0.00000000, g_loss: 10.40724850
Epoch: [53] Step: [   8/ 125] time: 92.7249, d_loss: 0.00000000, g_loss: 9.86541367
Epoch: [53] Step: [   9/ 125] time: 99.1326, d_loss: 0.00000000, g_loss: 9.63713264
Epoch: [53] Step: [  10/ 125] time: 105.6114, d_loss: 0.00000000, g_loss: 11.06541538
Epoch: [53] Step: [  11/ 125] time: 111.9790, d_loss: 0.00000000, g_loss: 8.74378777
Epoch: [53] Step: [  12/ 125] time: 118.5623, d_loss: 0.00000000, g_loss: 8.65228844
Epoch: [53] Step: [  13/ 125] time: 124.8674, d_loss: 0.00000000, g_loss: 7.80514240
Epoch: [53] Step: [  14/ 125] time: 131.1678, d_loss: 0.00000000, g_loss: 9.30454063
Epoch: [53] Step: [  15/ 125] time: 137.4558, d_loss: 0.00000000, g_loss: 10.84971905
Epoch: [53] Step: [  16/ 125] time: 143.5041, d_loss: 0.00000000, g_loss: 8.29614544
Epoch: [53] Step: [  17/ 125] time: 149.5131, d_loss: 0.00000000, g_loss: 7.99271297
Epoch: [53] Step: [  18/ 125] time: 155.9928, d_loss: 0.00000000, g_loss: 8.53077602
Epoch: [53] Step: [  19/ 125] time: 162.0746, d_loss: 0.00000000, g_loss: 7.09947157
Epoch: [53] Step: [  20/ 125] time: 168.2657, d_loss: 0.00000000, g_loss: 7.26263189
Epoch: [53] Step: [  21/ 125] time: 174.2886, d_loss: 0.00000000, g_loss: 7.98737574
Epoch: [53] Step: [  22/ 125] time: 180.7432, d_loss: 0.00000000, g_loss: 7.10857391
Epoch: [53] Step: [  23/ 125] time: 187.3645, d_loss: 0.00000000, g_loss: 7.41632748
Epoch: [53] Step: [  24/ 125] time: 193.5480, d_loss: 0.00000000, g_loss: 7.27718353
Epoch: [53] Step: [  25/ 125] time: 199.8039, d_loss: 0.00000000, g_loss: 8.09947586
Epoch: [53] Step: [  26/ 125] time: 205.7706, d_loss: 0.00000000, g_loss: 6.80466080
Epoch: [53] Step: [  27/ 125] time: 211.8193, d_loss: 0.00000000, g_loss: 10.83576584
Epoch: [53] Step: [  28/ 125] time: 218.0967, d_loss: 0.00000000, g_loss: 9.30415058
Epoch: [53] Step: [  29/ 125] time: 224.4053, d_loss: 0.00000000, g_loss: 9.62881088
Epoch: [53] Step: [  30/ 125] time: 230.2456, d_loss: 0.00000000, g_loss: 8.70592403
Epoch: [53] Step: [  31/ 125] time: 236.4773, d_loss: 0.00000000, g_loss: 8.54175854
Epoch: [53] Step: [  32/ 125] time: 242.5813, d_loss: 0.00000000, g_loss: 7.19645452
Epoch: [53] Step: [  33/ 125] time: 248.5697, d_loss: 0.00000000, g_loss: 6.32183218
Epoch: [53] Step: [  34/ 125] time: 254.7401, d_loss: 0.00000000, g_loss: 6.49328423
Epoch: [53] Step: [  35/ 125] time: 261.6195, d_loss: 0.00000000, g_loss: 7.61408854
Epoch: [53] Step: [  36/ 125] time: 267.7897, d_loss: 0.00000000, g_loss: 6.12731075
