{'?': <absl.app.HelpFlag object at 0x7f7827a664d0>,
 'alsologtostderr': <absl.flags._flag.BooleanFlag object at 0x7f78337377d0>,
 'batch_size': <absl.flags._flag.Flag object at 0x7f7827a66110>,
 'beta1': <absl.flags._flag.Flag object at 0x7f7827a5ed50>,
 'c_dim': <absl.flags._flag.Flag object at 0x7f7827a66210>,
 'checkpoint_dir': <absl.flags._flag.Flag object at 0x7f7827a66350>,
 'data_format': <absl.flags._flag.Flag object at 0x7f7827a66290>,
 'datafile': <absl.flags._flag.Flag object at 0x7f7827a5eb90>,
 'dataset': <absl.flags._flag.Flag object at 0x7f7827a5ea10>,
 'df_dim': <absl.flags._flag.Flag object at 0x7f7827a66090>,
 'epoch': <absl.flags._flag.Flag object at 0x7f7827a5ec10>,
 'experiment': <absl.flags._flag.Flag object at 0x7f7827a66410>,
 'flip_labels': <absl.flags._flag.Flag object at 0x7f7827a5edd0>,
 'gf_dim': <absl.flags._flag.Flag object at 0x7f7827a5efd0>,
 'help': <absl.app.HelpFlag object at 0x7f7827a664d0>,
 'helpfull': <absl.app.HelpfullFlag object at 0x7f7827a66550>,
 'helpshort': <absl.app.HelpshortFlag object at 0x7f7827a66510>,
 'helpxml': <absl.app.HelpXMLFlag object at 0x7f7827a66590>,
 'learning_rate': <absl.flags._flag.Flag object at 0x7f7827a5ecd0>,
 'log_dir': <absl.flags._flag.Flag object at 0x7f7833737890>,
 'logtostderr': <absl.flags._flag.BooleanFlag object at 0x7f78337376d0>,
 'nd_layers': <absl.flags._flag.Flag object at 0x7f7827a5eed0>,
 'ng_layers': <absl.flags._flag.Flag object at 0x7f7827a5ef50>,
 'only_check_args': <absl.flags._flag.BooleanFlag object at 0x7f7833737fd0>,
 'op_conversion_fallback_to_while_loop': <absl.flags._flag.BooleanFlag object at 0x7f7831ed7590>,
 'output_size': <absl.flags._flag.Flag object at 0x7f7827a66190>,
 'pdb_post_mortem': <absl.flags._flag.BooleanFlag object at 0x7f783372f690>,
 'profile_file': <absl.flags._flag.Flag object at 0x7f7833737f50>,
 'run_with_pdb': <absl.flags._flag.BooleanFlag object at 0x7f783372cb50>,
 'run_with_profiling': <absl.flags._flag.BooleanFlag object at 0x7f783372f210>,
 'save_every_step': <absl.flags._flag.BooleanFlag object at 0x7f7827a66450>,
 'showprefixforinfo': <absl.flags._flag.BooleanFlag object at 0x7f7833737a90>,
 'stderrthreshold': <absl.logging._StderrthresholdFlag object at 0x7f7833737a10>,
 'test_random_seed': <absl.flags._flag.Flag object at 0x7f7827fdefd0>,
 'test_randomize_ordering_seed': <absl.flags._flag.Flag object at 0x7f7827ff50d0>,
 'test_srcdir': <absl.flags._flag.Flag object at 0x7f7827ff22d0>,
 'test_tmpdir': <absl.flags._flag.Flag object at 0x7f7827ff2410>,
 'transpose_matmul_b': <absl.flags._flag.BooleanFlag object at 0x7f7827a662d0>,
 'use_cprofile_for_profiling': <absl.flags._flag.BooleanFlag object at 0x7f7833737f90>,
 'v': <absl.logging._VerbosityFlag object at 0x7f78337378d0>,
 'verbose': <absl.flags._flag.BooleanFlag object at 0x7f7827a66490>,
 'verbosity': <absl.logging._VerbosityFlag object at 0x7f78337378d0>,
 'xml_output_file': <absl.flags._flag.Flag object at 0x7f7827f8b650>,
 'z_dim': <absl.flags._flag.Flag object at 0x7f7827a5ee50>}
 [*] Reading checkpoints...
 [*] Success to read dcgan.model-epoch-19
Epoch: [20] Step: [   0/ 125] time: 45.6288, d_loss: 0.00000000, g_loss: 3.00746846
Epoch: [20] Step: [   1/ 125] time: 53.6161, d_loss: 0.00000000, g_loss: 2.74056768
Epoch: [20] Step: [   2/ 125] time: 61.1044, d_loss: 0.00000000, g_loss: 2.60338140
Epoch: [20] Step: [   3/ 125] time: 68.4758, d_loss: 0.00000000, g_loss: 2.52708578
Epoch: [20] Step: [   4/ 125] time: 75.7094, d_loss: 0.00000000, g_loss: 3.22652817
Epoch: [20] Step: [   5/ 125] time: 82.8582, d_loss: 0.00000000, g_loss: 2.51116800
Epoch: [20] Step: [   6/ 125] time: 90.3916, d_loss: 0.00000000, g_loss: 2.64380527
Epoch: [20] Step: [   7/ 125] time: 97.9951, d_loss: 0.00000000, g_loss: 2.44424701
Epoch: [20] Step: [   8/ 125] time: 104.9413, d_loss: 3.03828883, g_loss: 2.16711020
Epoch: [20] Step: [   9/ 125] time: 112.3174, d_loss: 0.00000000, g_loss: 1.92932820
Epoch: [20] Step: [  10/ 125] time: 119.4949, d_loss: 0.00000000, g_loss: 1.96956658
Epoch: [20] Step: [  11/ 125] time: 126.9999, d_loss: 0.00000000, g_loss: 2.02817869
Epoch: [20] Step: [  12/ 125] time: 134.6110, d_loss: 0.00000000, g_loss: 1.96887231
Epoch: [20] Step: [  13/ 125] time: 141.7563, d_loss: 0.00000000, g_loss: 1.72860408
Epoch: [20] Step: [  14/ 125] time: 148.9290, d_loss: 0.00000000, g_loss: 1.62480223
Epoch: [20] Step: [  15/ 125] time: 156.9152, d_loss: 0.00000000, g_loss: 1.56896818
Epoch: [20] Step: [  16/ 125] time: 163.7481, d_loss: 0.01081660, g_loss: 1.43097007
Epoch: [20] Step: [  17/ 125] time: 170.6498, d_loss: 0.00000000, g_loss: 1.63739049
Epoch: [20] Step: [  18/ 125] time: 178.0007, d_loss: 0.00000000, g_loss: 2.59794307
Epoch: [20] Step: [  19/ 125] time: 185.0421, d_loss: 0.00000000, g_loss: 2.60101819
Epoch: [20] Step: [  20/ 125] time: 191.9808, d_loss: 0.00018155, g_loss: 2.92999816
Epoch: [20] Step: [  21/ 125] time: 199.4927, d_loss: 0.00000000, g_loss: 2.27810788
Epoch: [20] Step: [  22/ 125] time: 206.8622, d_loss: 0.00000000, g_loss: 2.74969244
Epoch: [20] Step: [  23/ 125] time: 214.2300, d_loss: 0.00325423, g_loss: 2.14700270
Epoch: [20] Step: [  24/ 125] time: 221.5623, d_loss: 0.00000000, g_loss: 2.86917210
Epoch: [20] Step: [  25/ 125] time: 228.9093, d_loss: 0.00000000, g_loss: 2.94329143
Epoch: [20] Step: [  26/ 125] time: 236.3916, d_loss: 0.00000000, g_loss: 2.81118822
Epoch: [20] Step: [  27/ 125] time: 243.9507, d_loss: 1.47985208, g_loss: 1.58394170
Epoch: [20] Step: [  28/ 125] time: 251.3481, d_loss: 0.00000000, g_loss: 3.83733892
Epoch: [20] Step: [  29/ 125] time: 258.5216, d_loss: 0.00000000, g_loss: 5.70051670
Epoch: [20] Step: [  30/ 125] time: 265.9311, d_loss: 0.00000000, g_loss: 3.37710333
Epoch: [20] Step: [  31/ 125] time: 272.9278, d_loss: 0.00000000, g_loss: 3.44327760
Epoch: [20] Step: [  32/ 125] time: 280.0473, d_loss: 0.00000000, g_loss: 2.99860597
Epoch: [20] Step: [  33/ 125] time: 287.0609, d_loss: 0.00000000, g_loss: 3.17714167
Epoch: [20] Step: [  34/ 125] time: 294.4551, d_loss: 0.00000000, g_loss: 3.18596792
Epoch: [20] Step: [  35/ 125] time: 301.9092, d_loss: 0.00000000, g_loss: 3.85137272
Epoch: [20] Step: [  36/ 125] time: 309.1467, d_loss: 0.00000000, g_loss: 3.23898363
Epoch: [20] Step: [  37/ 125] time: 316.5320, d_loss: 0.00000000, g_loss: 2.55455160
Epoch: [20] Step: [  38/ 125] time: 323.6989, d_loss: 0.00000000, g_loss: 2.46767879
Epoch: [20] Step: [  39/ 125] time: 330.8573, d_loss: 0.00000000, g_loss: 2.69044209
Epoch: [20] Step: [  40/ 125] time: 338.5187, d_loss: 0.00000000, g_loss: 3.05935693
Epoch: [20] Step: [  41/ 125] time: 346.2090, d_loss: 0.00000000, g_loss: 2.88467598
Epoch: [20] Step: [  42/ 125] time: 353.4701, d_loss: 0.00000000, g_loss: 2.57845926
Epoch: [20] Step: [  43/ 125] time: 360.7763, d_loss: 0.00000000, g_loss: 2.86127424
Epoch: [20] Step: [  44/ 125] time: 367.8612, d_loss: 0.00000000, g_loss: 3.04625320
Epoch: [20] Step: [  45/ 125] time: 375.4125, d_loss: 0.00000000, g_loss: 2.53904915
Epoch: [20] Step: [  46/ 125] time: 383.0165, d_loss: 0.00000000, g_loss: 2.64795327
Epoch: [20] Step: [  47/ 125] time: 390.6049, d_loss: 0.00000000, g_loss: 2.59710503
Epoch: [20] Step: [  48/ 125] time: 397.8578, d_loss: 0.00000000, g_loss: 2.52233124
Epoch: [20] Step: [  49/ 125] time: 405.1417, d_loss: 0.00000000, g_loss: 2.73362112
Epoch: [20] Step: [  50/ 125] time: 412.1306, d_loss: 0.00000000, g_loss: 2.49158478
Epoch: [20] Step: [  51/ 125] time: 419.2184, d_loss: 0.01752178, g_loss: 2.55182743
Epoch: [20] Step: [  52/ 125] time: 426.5250, d_loss: 0.00000000, g_loss: 2.58101749
Epoch: [20] Step: [  53/ 125] time: 433.8241, d_loss: 0.00000000, g_loss: 2.56787062
Epoch: [20] Step: [  54/ 125] time: 440.8272, d_loss: 0.00000000, g_loss: 2.27525330
Epoch: [20] Step: [  55/ 125] time: 448.1480, d_loss: 0.00000000, g_loss: 2.23339152
Epoch: [20] Step: [  56/ 125] time: 455.3601, d_loss: 0.00000000, g_loss: 2.72037864
Epoch: [20] Step: [  57/ 125] time: 462.5818, d_loss: 0.00000000, g_loss: 2.23049736
Epoch: [20] Step: [  58/ 125] time: 469.9632, d_loss: 0.00000000, g_loss: 2.47378874
Epoch: [20] Step: [  59/ 125] time: 477.6160, d_loss: 5.33392143, g_loss: 2.19280052
Epoch: [20] Step: [  60/ 125] time: 484.7544, d_loss: 0.00000000, g_loss: 2.19122219
Epoch: [20] Step: [  61/ 125] time: 492.2659, d_loss: 0.00000000, g_loss: 2.86462665
Epoch: [20] Step: [  62/ 125] time: 499.4174, d_loss: 0.00000000, g_loss: 2.37978792
Epoch: [20] Step: [  63/ 125] time: 506.9093, d_loss: 0.00000000, g_loss: 2.21619678
Epoch: [20] Step: [  64/ 125] time: 513.9891, d_loss: 0.00000000, g_loss: 2.63491964
Epoch: [20] Step: [  65/ 125] time: 520.7965, d_loss: 0.00000000, g_loss: 2.41693115
Epoch: [20] Step: [  66/ 125] time: 528.4044, d_loss: 0.00000000, g_loss: 2.24073291
Epoch: [20] Step: [  67/ 125] time: 535.9711, d_loss: 3.36350060, g_loss: 2.59383440
Epoch: [20] Step: [  68/ 125] time: 543.2780, d_loss: 0.00000000, g_loss: 2.53700495
Epoch: [20] Step: [  69/ 125] time: 550.6092, d_loss: 0.00000000, g_loss: 2.62380004
Epoch: [20] Step: [  70/ 125] time: 557.8025, d_loss: 0.00000000, g_loss: 2.30252790
Epoch: [20] Step: [  71/ 125] time: 565.6092, d_loss: 0.00000000, g_loss: 2.26640177
Epoch: [20] Step: [  72/ 125] time: 572.4931, d_loss: 0.00000000, g_loss: 3.03292632
Epoch: [20] Step: [  73/ 125] time: 579.8849, d_loss: 0.00000000, g_loss: 2.45839524
Epoch: [20] Step: [  74/ 125] time: 587.0587, d_loss: 0.00000000, g_loss: 2.83784294
Epoch: [20] Step: [  75/ 125] time: 594.3773, d_loss: 0.00000000, g_loss: 3.28472662
Epoch: [20] Step: [  76/ 125] time: 601.9234, d_loss: 0.00000000, g_loss: 3.79502821
Epoch: [20] Step: [  77/ 125] time: 609.4011, d_loss: 0.00000000, g_loss: 2.70502615
Epoch: [20] Step: [  78/ 125] time: 616.7328, d_loss: 0.00000000, g_loss: 2.60939384
Epoch: [20] Step: [  79/ 125] time: 624.0988, d_loss: 0.00000000, g_loss: 2.39971781
Epoch: [20] Step: [  80/ 125] time: 631.4447, d_loss: 0.00000000, g_loss: 2.46038961
Epoch: [20] Step: [  81/ 125] time: 638.7966, d_loss: 0.00000000, g_loss: 1.93557787
Epoch: [20] Step: [  82/ 125] time: 646.1759, d_loss: 0.00000000, g_loss: 2.21731710
Epoch: [20] Step: [  83/ 125] time: 653.2475, d_loss: 0.00000000, g_loss: 2.30059767
Epoch: [20] Step: [  84/ 125] time: 660.5291, d_loss: 0.00000000, g_loss: 1.92778230
Epoch: [20] Step: [  85/ 125] time: 667.6885, d_loss: 0.00000000, g_loss: 2.14176512
Epoch: [20] Step: [  86/ 125] time: 674.8467, d_loss: 0.00000000, g_loss: 1.77358198
Epoch: [20] Step: [  87/ 125] time: 681.9662, d_loss: 0.00000000, g_loss: 2.73987794
Epoch: [20] Step: [  88/ 125] time: 689.4544, d_loss: 0.00000000, g_loss: 2.13103962
Epoch: [20] Step: [  89/ 125] time: 696.7254, d_loss: 0.00000000, g_loss: 2.51323676
Epoch: [20] Step: [  90/ 125] time: 704.1819, d_loss: 0.00000000, g_loss: 2.61138916
Epoch: [20] Step: [  91/ 125] time: 711.4284, d_loss: 0.00000000, g_loss: 2.20801187
Epoch: [20] Step: [  92/ 125] time: 718.9368, d_loss: 0.00000000, g_loss: 2.58573604
